ibo_000000|Nwoke Na- agba Boolu
ibo_000082|Ụmụ nwoke na-agba bọl.
ibo_000083|Ụmbrelà nwere ọtụtụ agba.
ibo_000084|Ehi ojii na ọcha.
ibo_000085|Iko anọ dị larịị maka iji ya.
ibo_000086|Iko tii ọcha na ojii.
ibo_000087|Tomato abụọ dị n'akụkụ karọt.
ibo_000088|Veesi ifuru dị n'ihu windo.
ibo_000089|Ugwu dị elu n'etiti ọhịa.
ibo_000090|Ehi na-ata ahịhịa n'ala ndụ, n'akụkụ osisi.
ibo_000091|Ọtọkọ banana edo na osisi banana
ibo_000092|Bọọlụ dị n'ime net.
ibo_000093|Ọhịa na ebe ọdịdaanyanwu
ibo_000094|Otu n'ime ano nke iri abuo putara ise.
ibo_000095|Afara arụgoro n'elu osimiri.
ibo_000096|Ifuru ọcha na anụ ọkụkọ edo na akwụkwọ ndụ ndụ.
ibo_000097|Otu n'ime okara  otu nari putara iri ise.
ibo_000098|Ịnyịnya edo na ọcha na-agba ọsọ n'ọnwụ anyanwụ.
ibo_000099|Kpakpando ọcha dị n'ime mgbanaka anụnụ anụnụ.
ibo_000100|Triangle ndụ dị n'elu mgbanaka anụnụ anụnụ.
ibo_000101|Ngwugwu akwụkwọ nyocha.
ibo_000102|Okpokoro atọ odo dị n'ime mgbanaka aja.
ibo_000103|Iri isii ekere uzo abuo putara iri ato
ibo_000104|Obi ntụ́ dị n'elu ọkpọkọ oroma.
ibo_000105|Nwata obere nọ n'etiti nwanyị na nwoke
ibo_000106|Pentagon atọ dị ntụ́ n'ime mgbanaka aja.
ibo_000107|Ùhie anyanwụ na-acha ọcha n'okpuru igwe ojii.
ibo_000108|Oke mgbanaka kọfị dị n'etiti triangles abụọ ojii.
ibo_000109|Ugboro ọkụ odo na-agafe n'ihu mgbanaka aja
ibo_000110|Oke mgbanaka anụnụ anụnụ dị n'etiti okpokoro abụọ.
ibo_000111|Iri na abuo amubara uzo ano putara iri ano na asato.
ibo_000112|Ano amubara uzo ise putara iri abuo
ibo_000113|Otu agbakwuyere abuo putara ato.
ibo_000114|Isii agbakwunyere asaa putara iri na ato.
ibo_000115|Abuo n'ime ise amubara uzo iri asato putara iri ato na abuo.
ibo_000116|Oke mmiri ozuzo ga-ezo n'ubochi taa. Oke ufufe ga-adikwa.
ibo_000117|Okpokoro atọ kọfị dị n'akụkụ mgbanaka abụọ anụnụ anụnụ.
ibo_000118|Asaa amubara uzo asato putara iri ise na isii.
ibo_000119|Oroma abụọ zuru oke dị n'akụkụ oroma nke a kwapụrụ n'otu.
ibo_000120|Ubochi taa ga-aju nnoo ezigbo oyi n'ihi na oke oyi ga-atu mana oke ufufe ga-esokwa ya.
ibo_000121|Asato amubara uzo itoolu putara iri asaa na abuo.
ibo_000127|Iri na otu amubara uzo otu nari na iri putara otu puku, nari abou na iri.
ibo_000154|Akwa akwa dị n'elu osimiri.
ibo_000155|Anọ mụbara ise pụtara iri abụọ.
ibo_000156|Nne na nna sikpu obere nwa ha nwoke n'etiti ha
ibo_000157|Kpakpando ọcha nọ n'ime okirikiri na-acha anụnụ anụnụ.
ibo_000158|Iri na abụọ mụbara anọ bụ iri anọ na asatọ.
ibo_000159|Isii agbakọnyere asaa pụtara iri atọ.
ibo_000160|Mkpụrụobi na-acha ntụ ntụ nọ n'elu konu na-achara nchara.
ibo_000161|Otu agbakọnyere abụọ pụtara atọ.
ibo_000162|Ala ahụ niile bụ ugwu ugwu, ahịhịa na-acha ndụ ndụ gbara ya bụ ugwu gburugburu.
ibo_000163|Otu nwoke na-eji kpii ka unyi na-agba bọọlụ na-ejikwa ka ya.
ibo_000164|Eji ube na-acha edo edo tụkwasị n'elu okirikiri na-acha ire ire.
ibo_000165|Aga-enwe okpomọkụ ogo selsịọsụ ga-adị iri abụọ.
ibo_000166|Nna ya zụtara anyịnya ìgwe ojii ka o were -eje akwụkwọ.
ibo_000167|Anyanwụ ejirila nwayọ na-alaghachi maka na mgbede eruola.
ibo_000168|Nwaanyi ahụ wetara otuboala abụọ nakwa otu karọt ka o were tinye na nri ọ na-esi.
ibo_000169|Iri isii ekewara abụọ pụtara iri atọ.
ibo_000170|Otu nnukwu ehi ojii tụrụ agba ọcha na-aga n'ime ọhịa ka ọ taa nri
ibo_000171|Iri na otu agbakọnyere atọ pụtara iri na anọ.
ibo_000172|Ọnwa na-etisi ike n'abalị ahụ nke mere ka ihe ya na-amuke n'ime osimiri dị n'ala.
ibo_000173|Okpomọkụ taa ga-adị selsịọsụ iri ebe urukpuru ga-agbatu ọchịchịrị.
ibo_000174|Pentagọnụ atọ na-acha ntụ ntụ ka esenyere n'elu rekutangụlụ odo odo.
ibo_000175|Okpomọkụ taa ga-adị naanị ogo selsịọsụ atọ, aga-enwe oyi ọtụtụ.
ibo_000176|N'abalị taa, aga-enwe okpomọkụ ogo selsịọsụ iri abụọ na atọ.
ibo_000177|Otu trayangụlụ na-acha ndụ ndụ nọkwasị n'elu okirikiri anụnụ anụnụ.
ibo_000178|E jiri agba anụnụ anụnụ, edo edo nakwa agba ndụ ndụ were chọọ okooko ahụ mma.
ibo_000180|Na mgbede Satọde aga-enwe ikuku oyi malite n'elekere ise ruo mgbe ọ kụrụ elekere iri nke abalị.
ibo_000181|E sere okirikiri edo edo n'azụ anyịnya ibu na-acha ire ire. Anyịnya ibu ahụ ji ọsọ agbapụ.
ibo_000182|O nweghị ihe ga-adị ka anyanwụ n'eluigwe taa, naanị mmiri ozuzo ga-akpara ụbọchị taa.
ibo_000183|Nkechi nwere ikpo akwụkwọ isii o wetara n'ọbá akwụkwọ, ọ chọrọ iweghachi ha na ụbọchị mọndee
ibo_000186|E dobere alaka unere dị mkpụrụ anọ n'akụkụ ukwu unere na-acha akwụkwọ ndụ akwụkwọ ndụ.
ibo_000189|Ụdịdị igwe mere mmadụ aghụghọ taa, o ji anwụ malite, obere oge, mmiri ozuzo a wakpo ndị mmadụ.
ibo_000241|Anọ mụba ise pụtara iri abụọ.
ibo_000242|Otu agbakọnyere abụọ pụtara atọ.
ibo_000243|Iri na otu agbakọnyere atọ pụtara iri na anọ.
ibo_000244|Otu n'ime atọ mụbaa iri isii bụ iri abụọ.
ibo_000245|N'abalị taa, aga-enwe okpomọkụ ogo selsịọsụ iri abụọ na otu.
ibo_000246|Iri mụbaa iri bụ otu narị.
ibo_000247|Isii agbakọnyere asaa pụtara iri na atọ.
ibo_000248|Iri isii ekewara abụọ pụtara iri atọ.
ibo_000249|Asatọ mụbara itenanị pụtara iri asaa na abụọ.
ibo_000250|Okpomọkụ taa ga-adị naanị ogo selsịọsụ atọ, aga-enwe oyi ọtụtụ.
ibo_000251|Otu n'ime iri mụbaa otu nde bụ otu narị puku.
ibo_000252|Nnem bụ nọọsụ nke iri n'ime ndị nọọsụ achọrọ.
ibo_000253|Okpomọkụ taa ga-adị selsịọsụ iri ebe urukpuru ga-agbatu ọchịchịrị.
ibo_000254|Atọ n'ime asatọ mụbara asatọ bụ atọ.
ibo_000255|Otu narị mụbaa otu n'ime anọ bụ iri abụọ na ise.
ibo_000256|Ugwu nke mbụ kacha ugwu ndị ọzọ dị elu.
ibo_000257|Agbụrụ m nke nke atọ kachasi agbụrụ ndị ọzọ ike.
ibo_000258|Atọ n'ime anọ mụbara otu narị na iri abụọ bụ iri itoolu.
ibo_000260|Otu n'ime abụọ mụbaa otu narị bụ iri ise.
ibo_000261|Mgbada bụ anụ nke mbụ kacha eme ọsọ ọsọ n'ime ụmụ anụmanụ.
ibo_000262|Abụ m nwa nke atọ n'ime ezinụlọ m.
ibo_000263|A mụrụ m ka ọnwa nke asaa dị na mkpụrụ ụbọchị anọ.
ibo_000265|Otu nde mụbaa otu n'ime ise bụ puku narị abụọ.
ibo_000267|Mmadụ iri ga-abịa ma ọnwa a dị abalị iri.
ibo_000270|Otu n'ime ụmụ nwoke anọ ahụ bu ji anọ were bịa.
ibo_000323|Ayodeji bụ otu n'ime ndị dere iwu na-achịkwa Naijiria.
ibo_000324|Ọ bịara na Tuzdee
ibo_000325|Anyị na-ezu ike na Satọdee
ibo_000326|Ụbọchị ole dị na Febrụwarị?
ibo_000327|Ọnwa Disemba bu onwa e ji enwe aṅụrị
ibo_000328|Ụmụ akwụkwọ ga-ebido akwụkwọ na Mọndee
ibo_000329|Muhammadu Buhari bụ onye Fulani di na Katsina Steeti
ibo_000330|Fraịdee ka ndị mmadụ ji eme karị ụwa mgbede
ibo_000331|Olusegun Obasanjo bụ onye Yoruba sitere na Ogun Steeti
ibo_000332|Goodluck Jonathan bụ onye Ijaw nọ na Bayelsa Steeti
ibo_000333|Ọtụtụ ndị mmadụ na-aga njem ezumike na Ọgọọst
ibo_000334|I nwere uwe ọcha maka emume a?
ibo_000335|Umaru Musa Yaradua bụ onye Hausa sitere na Katsina Steeti
ibo_000336|Laiberia a bụghị mba nwere ego.
ibo_000337|N'ihi gịnị ka mbara igwe ji acha anụnụ anụnụ?
ibo_000338|Gịnị mere anya gị ji acha ọbara ọbara?
ibo_000339|Ajụjụ: Kedụ mba nwere agbụrụ a na-akpọ Ashanti? Azịza: Gana nwere agbụrụ a na-akpọ Ashanti
ibo_000340|Enyi m nwoke, Saidu, bụ onye ọka ikpe maara ihe ọ na-eme.
ibo_000341|N'agbanyeghị ihe mere ha na 1994, Rụwanda bụ obodo mara mma ibi ndụ.
ibo_000342|O nwere ka ọ dị na i kwenyeghi na Chineke, ma aha gị bụ Chukwudi.
ibo_000343|Ajụjụ: Kedụ mba ebe isi ọchịchị ya bụ Accra? Azịza: Obodo isi ọchịchị Gana bụ Accra.
ibo_000346|Ha lara ụlọ Ekeresimesi
ibo_000404|Anọ mụbara ise pụtara iri abụọ
ibo_000405|Isii a gbakwunyere asaa pụtara iri na atọ
ibo_000406|Iri isii e kere abụọ pụtara iri atọ
ibo_000407|Akwa mmiri gbagọrọ agbagọ nọ n'elu osimiri.
ibo_000408|Agbụrụ m bụ nke mbụ n'ụwa niile
ibo_000409|Iri mụbara iri pụtara otu narị
ibo_000410|Urukpuru agbaala ugwu a okirikiri.
ibo_000411|ọkara otu narị pụtara iri ise
ibo_000412|Iri na otu a gbakwunyere atọ pụtara iri na anọ
ibo_000413|Nọọsụ nke iri bụ nne m
ibo_000414|Asatọ mụbara itoolu pụtara iri asaa na abụọ
ibo_000415|Iri na abụọ mụbara anọ pụtara iri anọ na asatọ
ibo_000416|Okpomọkụ taa ga-adị ogo selsịọsụ iri na itoolu na ohere mmiri ozuzo.
ibo_000417|Otu n'ime ụzọ atọ ọnụ ọgụ iri isii pụtara iri abụọ
ibo_000418|Ugwu nke iri a etoka ogo
ibo_000419|Ọnwa zuru ezu gosipụtara n'ime mmiri n'etiti abalị
ibo_000420|otu  n'ime asatọ mụbara asatọ pụtara atọ
ibo_000421|Otu narị mụbara otu n'ime ụzọ anọ pụtara iri abụọ na ise
ibo_000422|Otu n'ime ụzọ iri ọnụ ọgụ otu nde pụtara otu narị puku
ibo_000423|Osimiri nke asaa tọrọ ogologo na-eri mmadụ
ibo_000424|Ụlọ anyị bụ nke iri abụọ.
ibo_000425|Ọnwa nke iri na abụọ ka a mụrụ ụmụnne m niile
ibo_000426|Okpomọkụ taa ga-adị ogo selsịọsụ iri na enweghị ohere anwụ ma a ga-enwe nnukwu mmiri ozuzo.
ibo_000427|Anyị hụrụ foto na-egosi osimiri nọ n'ala n'etiti ugwu abụọ yana eluigwe.
ibo_000428|Otu a gbakwunyere abụọ pụtara atọ
ibo_000429|Okpomọkụ dị elu taa ga-adị ogo iri ise ma enwere ike inwe obere urukpuru. .
ibo_000430|Abụọ n'ime ụzọ ise ọnụ ọgụ iri asatọ pụtara iri atọ na abụọ
ibo_000431|E dewere Mkpọ okoko n'elu mpio ụlọ eji chọọ ya mma.
ibo_000432|Iri na otu mụbara otu narị na iri pụtara otu puku na narị abụọ na iri
ibo_000433|Okpomọkụ taa ga-adị ogo selsịọsụ asatọ na nnukwu urukpuru na ajọ ikuku.
ibo_000434|Otu n'ime ụzọ anọ ọnụ ọgụ iri abụọ pụtara ise
ibo_000435|otu nde mụbara otu n'ime ụzọ ise pụtara narị abụọ
ibo_000436|Okpomọkụ mgbede taa ga-adị ogo selsịọsụ iri na enweghị ohere mmiri ozuzo.
ibo_000437|Bọọlụ ojii no n'ihu nwoke ojii a. 2) Nwoke ojii a nọ n'azụ bọọlụ a.
ibo_000438|Atọ n'ime ụzọ anọ ọnụ ọgụ otu narị na iri abụọ pụtara iri itoolu
ibo_000439|Obi gbara gool nke mbụ ebe Nnanna gbara nke abụọ na nke atọ
ibo_000440|Anyịnya na-acha pinki na ọcha si n'ime anyanwụ gbapụta.
ibo_000441|Nne m gara ahịa zụta tomato na karọt dị mme mme. 2) otu karọt nọ n'akụkụ tomato abụọ ahụ.
ibo_000442|Okpomọkụ dị oké elu taa ga-adị ogo selsịọsụ iri toolu na enweghị ohere mmiri ozuzo.
ibo_000443|Lee nkịta ojii nna m na-achụ bọọlụ.
ibo_000444|Anyanwụ ụtụtụ agafeela urukpuru a obere mana ọ ka anọ ya n'azụ.
ibo_000445|Oroma atọ nọkọrọ ọnụ. Nke mezuru ha atọ bụ ọkara dakwasara abụọ ndị ọzọ.
ibo_000446|Ada ji nche anwụ nwere ụcha anọ gaa akwụkwọ taa mana ọ chefuru ya n'ụlọ akwụkwọ. .
ibo_000447|Anụmanụ nke iri atọ mara agba ọsọ.
ibo_000448|Lee ehi nwere ụcha abụọ, ojii na ucha. Ehi a na-achọ ahịhịa nọ n'ala ọ ga-ata.
ibo_000449|Okoko nwere agwa ododo, akwụkwọ ndụ akwụkwọ ndụ na edo edo si n'ime ala toputa n'elu ala.
ibo_000450|Otu n'ime ụzọ ise mụbara iri abụọ a gbakwunyere iri atọ nakwa iri anọ pụtara iri na asatọ
ibo_000451|Iko mmiri a dị ọcha na ojii. Okwuchi ya nọ n'elu ya ebe aka ya nọ n'akụkụ ya.
ibo_000485|Maryland nọ n'obodo Lagos
ibo_000486|Achọrọ m iri achịcha taa.
ibo_000487|Nwanne m nwoke bụ Ụkọchukwu
ibo_000488|A mụrụ Chioma n'ubọchị Tuzdee.
ibo_000489|Oke osimiri Atlantic nọ nso na Lagos
ibo_000490|Oke nkume Zuma nọ n'Abuja
ibo_000491|Biko tinyere m akpụ na Ofe ọha.
ibo_000492|Ụbọchị nke mbụ n'afọ ọbụla bụ afọ ọhụrụ.
ibo_000493|Nne m ga-esi osikapa ụbọchị ụka.
ibo_000494|Cross River nọ n'akụkụ ndịda anyanwụ na Naijiria.
ibo_000495|Nye m agwa na osikapa!
ibo_000496|Nne gị ọ na-ere ụkwa?
ibo_000497|Gịnị ka anyị ga-esi n'ubọchị Tuzdee?
ibo_000498|Berga bụ ebe ama ama n'obodo Abuja
ibo_000499|Anyị ga-aga njem n'ọnwa Disemba
ibo_000500|Mmemme ekeresimesi bụ oké mmemme ndị Ụka
ibo_000501|Jenụwarị bu onwa nke mbụ n'afọ.
ibo_000502|Kedụ ebe oche ojii ahụ dị?
ibo_000503|Umar Musa Yaradua nwụrụ ka ọ nọ n'oche dịka onye isi ala.
ibo_000504|A mụrụ enyi m nwaanyị n'ọnwa Ọktoba
ibo_000505|Gịnị mere i ji yiri uwe ọcha?
ibo_000506|Ndị alakụba na-eme omume salla
ibo_000507|Onye gụrụ egwu aha ya bụ 'Assurance' Davido Adeleke
ibo_000508|Mohammadu Buhari abụrụla onyeisi ala Naịjiria ugboro abụọ.
ibo_000509|Kedụ aha onye ọgụ egwu Naijiria kacha nwee ego? Davido Adeleke
ibo_000510|Nwa nne m nwoke ga-alụ nwaanyị n'ubọchị Satọde.
ibo_000511|Enwere ọtụtụ ụlọ oriri na nkwari na Lekki
ibo_000512|I nwere ike itinye mmemme gị n'ubọchị Wenezde?
ibo_000513|Aga m emere nwa m emume ncheta ụbọchị ụmụaka.
ibo_000514|Ọ bụ na katidral ka enyi m ga-agba akwụkwọ.
ibo_000515|Anyị ga-enwe ọgbakọ n'ubọchị Fraịde izu ụka a.
ibo_000516|Anaghị aga ọrụ ụbọchị ncheta nwere onwe nke obodo m.
ibo_000517|Port Harcourt nwere ọtụtụ ụlọ ọrụ mmanụ dịka Royal Dutch Shell.
ibo_000518|Poopu ọ ga-abịa ụbọchị izu ụka na-abịa?
ibo_000519|Gịnị bụ aha nkume esere na akwụkwọ ego otu narị Naira? Nkume Zuma
ibo_000520|Onyeisi ndọrọndọrọ ọchịchị otu APC bụ Abdullahi Umar Ganduje.
ibo_000521|Inwere ike ịsụ ji Utara? Ee, a na-asụ Utara ji.
ibo_000522|The Dangote Group bụ ụlọ ọrụ mmepụta ihe dị iche iche na Naijiria, nke Aliko Dangote guzobere.
ibo_000523|Dora Nkem Akuyili bụbu onyeisi NAFDAC ndị otu na-ahụ maka nri na ọgwụ.
ibo_000524|Ọnye bụ onye ochelu goolu na Chippa united? Stanley Nwabali bụ onye nche goolu nke Chippa united
ibo_000525|Ebee ka ị dosiri okpu mme mme m?
ibo_000526|Otu na-ahụ maka ahụike nke mba ụwa ndị bekee kpọrọ World Health Organization (WHO) Ka e guzobere n'Eprail 7, afọ 1948
ibo_000567|Ugwu dị elu na-atụ oyi
ibo_000568|Ite e ji esi mmiri ọkụ.
ibo_000569|Nne na nna na nwa ha. A maghị ma nwa ahụ ọ bụ nwoke ma ọ bụ nwanyị.
ibo_000570|Isii tinye asaa ga-enye iri na atọ
ibo_000571|Iri na otu tinye atọ ga-enye iri na anọ
ibo_000572|Ọkara otu narị bụ iri ise
ibo_000573|Asatọ mụbaa itoolu ga-enye iri asaa na abụọ
ibo_000574|Osimiri Niger dị ogologo
ibo_000575|Tomato e sere n'ụdị mbe
ibo_000576|Ada Emeka nke abụọ mara mma.
ibo_000577|Anọ mụbaa ise ga-enye iri abụọ
ibo_000578|Ndị Chelsea nyere ọtụtụ goolu
ibo_000579|Ndị nọọsụ bịara nyere nwanyị ahụ aka
ibo_000580|Nche anwụ nwere agba dị iche iche
ibo_000581|Iri mụbaa iri ga-enye otu narị
ibo_000582|Asaa mụbaa asatọ ga-enye iri ise na isii
ibo_000583|Iri na abụọ mụbaa anọ ga-enye iri anọ na asatọ
ibo_000584|Okè abụọ n'ime okè ise nke iri asatọ bụ iri atọ na abụọ
ibo_000585|Oroma atọ nọkọrọ ọnụ. A wara otu n'ime oroma atọ ahụ awa.
ibo_000586|Otu okè n'ime okè anọ nke iri abụọ bụ ise
ibo_000587|Ugwu na-acha anụnụ anụnụ n'azụ ubi ahịhịa
ibo_000588|Window mara mma nke nwere ite ifuru guzo n'akụkụ windo.
ibo_000589|Okè atọ n'ime okè anọ nke otu narị na iri abụọ bụ iri itoolu
ibo_000590|Otu tinyere abụọ ga-enye atọ
ibo_000591|Ọkara anọ ugboro iri abụọ bụ ise
ibo_000592|E nwere ọtụtụ anụmanụ na-agba oké oso
ibo_000593|Otu okè n'ime okè iri na otu nde bụ otu narị puku .
ibo_000594|April, Jun, Septemba na Novemba bụ ọnwa ndị gbara ụbọchị iri atọ
ibo_000595|Apụl abụọ na-acha akwụkwọ ndụ akwụkwọ ndụ. E bewara otu e bewa.
ibo_000596|Mụ na Femi gbara ọsọ ụnyaahụ
ibo_000597|Otu oke n'ime narị ekere ụzọ anọ bụ iri abụọ na ise
ibo_000598|Akwa mmiri osimiri Naija nwere ọrụ ígwè dị ịrịba ama
ibo_000599|Iko anọ e ji aṅụ kọfị kwụ n'otu ahịrị, otu na-esochi ibe ya n'azụ..
ibo_000600|E wezụga ụwa anyị bi n'ime ya, e nwere ụwa ndị ọzọ dị na usoro mbara igwe anyị
ibo_000601|Nke nọ n'ala yiri ihe e ji arụ ákwà mmiri. N'akụkụ ya, e nwere ibé ndị ọzọ dị n'ụdị dị iche iche
ibo_000602|Akwụkwọ isii a tụkwasịrị n'elu ibe ya. Ndị sara mbara karịa dị n'okpuru, ma ndị dị obere dị n'elu.
ibo_000603|Àkwà mmiri dị na Lagos a na-akpọ 3rd Mainland Bridge tọrọ ogologo ruo ihe karịrị 10km.
ibo_000604|Isi ụlọ ọrụ nke ụlọ ọba ego etiti Naijiria mara mma.
ibo_000605|Ọ bụrụ na ị jighị ngwa Google chọọ ụzọ na Abuja, dị ka onye bịara ọhụrụ, ị ga-efu ụzọ.
ibo_000638|Ana enwe ezumiike na Tozdee di Nso.
ibo_000639|E sere Pentagọnụ atọ na-acha ntụ ntụ  n'elu ụgbọ na-acha ododo.
ibo_000640|Ngozi ga-aga ahia n'ubochi Monde.
ibo_000641|Emume ekeresimesi bu n'onwa Dizemba.
ibo_000642|Aga agba boolu na Tuzdee.
ibo_000643|Anyanwụ a nwere ụcha abụọ, ododo na ọcha. 2. Ọ gbara okirikiri
ibo_000644|Ncheta ubochi ndi oru, o bu Wenezdee n'afo a?
ibo_000645|Akpa Ngozi na-acha anunu anunu.
ibo_000646|Amaka ga-agba egwu n'abali Satode.
ibo_000647|WHO na-ahu maka AHUIKE mba uwa.
ibo_000648|Ọ nwere agwọ na-acha nchara nchara nọ n'elu osisi.
ibo_000649|Obinna ga egbu nkwu ahu n'ututu Fraidee.
ibo_000650|Enwere m mkpụrụ osisi apụl dị akwụkwọ ndụ akwụkwọ ndụ otu na ọkara
ibo_000651|O nwere ugwu dị n'azụ ụlọ m, kwa ụbọchị, urukpuru na-akwachi ya bụ ugwu.
ibo_000652|Akwa osimiri nọ n'elu oke osimiri.
ibo_000653|ASUU bu otu na-ahu maka ogo agụmakwukwo mahadum.
ibo_000654|Lee ọmarịcha onyịnya a. Ọ nọ n'ihu anyanwụ.
ibo_000655|Sukwe atọ na-acha edo edo dị n'ime efere agbara okirikiri na-acha ododo na ọcha.
ibo_000656|Kirikiri bọọlụ anọ na-acha akwụkwọ ndụ akwụkwọ ndụ ka Obi tinyere n'ime nnukwu akpati ya o dosiri n'ala.
ibo_000657|Rombusu abụọ na-acha edo edo ka e dowere n'akụkụ okirikiri dị anụnu anụnụ. Okirikiri
ibo_000658|INEC bu ndi na-ahu maka ntuli aka elu  ndorondoro ochichi n'obodo Naịjịrịa.
ibo_000659|Etere ulo ahu agba edo edo.
ibo_000660|Emume ncheta mbilite n'onwu nke Jeso ga-amanye na Sonde.
ibo_000661|ubochi nke mbu n'onwa ise bu ezumiike ndi oru.
ibo_000662|Nwoke dị ojii yikwa uwe ojii na-agba bọọlụ dị ojii. 2. Bọọlụ ojii ahụ dị n'ihu nwoke ahụ.
ibo_000663|Mkpụrụ obi na-acha ntụ ntụ nọ n'elu silinda dị edo edo. 2. A zụtara m silinda na-acha edo edo esere mkpụrụ obi n'elu ya.
ibo_000664|ubochi iri abuo na isii n'onwa iri na abuo bu ụbọchị mmepesi mkpo ihe onyinye.
ibo_000665|Nnedi gara ahịa ịzụta nche anwụ maka oge uju mmiri.
ibo_000666|Ana enwekwa ezumiike n'ubochi na abota ekeresimesi.
ibo_000667|Nna m zụtara m anyịnya ìgwè ojii. 2. Obinna ji baisikul ya aga akwụkwọ ụbọchị Fraịde.
ibo_000668|Ezigbo Fraidee bu ubochi ezumiike maka ncheta ahuhu na onwu Onyenweanyi Jeso.
ibo_000669|Otu bọọlụ nwere ụcha dị iche iche nọ n'ihu nkịta ọhịa ojii. 2. Lee ọmarịcha nkịta chọrọ ịgba bọọlụ.
ibo_000670|Nne setere urukpuru na ndagwurugwu mara mma. Foto a gosipụtara ọdịdị mara mma.
ibo_000671|Agwọ na-acha aja nọ n'ime mkpụrụ osisi apụl dị mme mme.
ibo_000674|Ndị mebere ezinụlọ bụ nne, nna na nwata. 2. E gosipụtara esere mmadụ atọ ebe a.
ibo_000720|Onyeka Onwenu nwere ezigbo olu eji agụ egwu.
ibo_000721|Asụsụ a na-asụ na Togo bụ French.
ibo_000722|Steeti Lagos nwere nnukwu oké osimiri dị iche iche.
ibo_000723|Adịche Chimamanda edeela ọtụtụ akwụkwọ zuru mba ọnụ.
ibo_000724|Chad Republic na Naịjiria nwere oké ala.
ibo_000725|Steeti Benue na-akọputa ji nke ukwuu
ibo_000726|Nne m gara Ụka Katọlik taa.
ibo_000727|Anyị dị asaa n'ezinụlọ m, abụ m nwa nke asaa
ibo_000728|Ụlọ alakụba jụrụ na mgbago Ugwu Naijiria.
ibo_000729|Shito na banku bụ nri eji mara ndị Ghana
ibo_000730|Anyị riri osikapa ụbọchị ụka gara aga.
ibo_000731|Tinapa nwere akụrụngwa ụwa maka azụmahịa na ntụrụndụ, ọ nọ na Calabar.
ibo_000732|Kedụ obodo bụ isi obodo na Naịjirịa? Abuja.
ibo_000733|Ede na Ụkwa bụ nri ndị Igbo ama ama.
ibo_000734|Ụgwọ Chioma bụ otu nwata nwaanyị maara akwụkwọ nke ukwuu.
ibo_000735|Ebee ka onye isi ala obodo Naijiria bi? Abuja.
