yor_000000|Tòmátì àti Ṣòmbọ̀
yor_000081|Adúrà olúwa ṣe pàtàkì fún àwọn ọmọ lẹ́yìn kristi
yor_000082|Ọjọ́ Àbámẹ́ta jẹ́ ọjọ́ ọjà ìlú wa
yor_000083|Dòdò àti ẹyin dindin jẹ́ oúnjẹ àwọn alákòwé
yor_000084|Iyán l'óúnjẹ; Ọ̀kà l'óògùn; Àìrí rárá la ń j'ẹ̀kọ;
yor_000085|Jollof rice ti Nàìjíríà dùn jù ti Ghana lọ
yor_000086|Ibrahim Adebisi di imámù tuntun fún mọ́sálásí wa
yor_000087|Kí ni orúkọ àbíṣọ Davido? David Adeleke ni orúkọ àbíṣọ Davido
yor_000088|Táni ààrẹ orílẹ̀-èdè Ghana? Nana Akufo-Addo ni ààrẹ orílẹ̀-èdè Ghana?
yor_000089|Olúṣẹ́gun Ọbásanjọ́ jẹ́ ọmọ ogun Nàìjíríà nígbà kan rí
yor_000090|ọdún wo ni Nàìjíríà gba òmìnira? ọdún 1960
yor_000091|Olúṣẹ́gun Ọbásanjọ́ Presidential Library jẹ́ àkọ́kọ́ ní ilẹ̀ adúláwọ̀
yor_000092|Oktoba jẹ́ oṣù òmìnira fún orílẹ̀-èdè Nàìjíríà
yor_000093|"Cocoa House yìí ga ní ìwọ̀n ""metre"" mẹ́tàdínláàdọ́fà"
yor_000094|Orílẹ̀-èdè wo lo ní Bakassi peninsula? orílẹ̀-èdè Cameroon lo ní
yor_000095|INEC, àjọ elétò ìdìbò Nàìjíríà ti kéde èsì ìdìbò 2023
yor_000096|Ọjọ́bọ̀ jẹ́ ọjọ́ ààwẹ̀ fún àwọn mùsùlùmí
yor_000097|Ọjọ́rú jẹ́ ọjọ́ ìsinmi àwọn ọmọ ilé-ìwé
yor_000098|Ìlú wo ni Accra? Accra jẹ́ olú-ìlú orílẹ̀-èdè Ghana?
yor_000099|"Òṣun-Òṣogbo ""sacred grove"" jẹ́ ìbùdó àṣà ní ìpínlẹ̀ Òṣun."
yor_000100|Ìjọba àpapọ̀ kéde ọjọ́ ìṣẹ́gun fún ìsinmi lẹ́nu iṣẹ́
yor_000101|Ẹsẹ̀ gírígírí nílé Àńjọ̀fẹ́, Àńjọ̀fẹ́ kú tán..
yor_000102|Èèyàn méjì kú lásìkò tí ṣọ́ọ̀ṣì kan dá wó lulẹ̀ nípìnlẹ̀ Ọ̀ṣun
yor_000103|Ofe Nsala jẹ́ oúnjẹ aládùn àwọn Ibò
yor_000104|CAF ti kéde eré bọ́ọ̀lù ti AFCON fún ọdún 2025
yor_000105|Fásitì Ìbàdàn jẹ́ fásitì àkọ́kọ́ ní orílẹ̀-èdè Nàìjíríà
yor_000106|Àmì wo ni àmì ìfẹ́ jẹ́? àmì pọ́pù
yor_000107|ọdún mélòó ni Shehu Shagari lò lórí ipò ààrẹ orílẹ̀-èdè Nàìjíríà? ọdún mẹ́rin àti oṣù mẹ́ta
yor_000108|Monday ni a ń pè ní ọjọ́ ajé ní ilẹ̀ Yorùbá
yor_000109|Shehu Shagari ni ààrẹ ní orílẹ̀-èdè Nàìjíríà
yor_000110|Olúṣẹ́gun Ọbásanjọ́ ni Balógun Òwu ní ilẹ̀ Ẹ̀gbá
yor_000111|Oúnjẹ wo ni àwọn Yorùbá gbádùn jù lọ? àmàlà àti iyán ni oúnjẹ Yorùbá
yor_000112|Goodluck Jonathan ni ààrẹ àkọ́kọ́ tí ó fìdí rẹmi nínú ètò ìdìbò ọdún 2015
yor_000113|Muhammadu Buhari ló gbé ìjọba orílẹ̀-èdè Nàìjíríà fún Ààrẹ Bọ́lá Tinubú ní ọdún 2023
yor_000114|"Olúmọ rock jẹ́ ibi ìgbafẹ́ fún àwọn arìnrìn-àjò ní Abẹ́òkúta, ""Ogun State."""
yor_000115|Yar'adua jẹ́ ààrẹ orílẹ̀-èdè Nàìjíríà ní ìgbà kan rí
yor_000116|Ọdún wo ni orílẹ̀-èdè Ghana gba òmìnira? Ghana gba òmìnira ní ọdún 1957.
yor_000117|Nítorí k'áwọn òṣìṣẹ́ lè gba káàdì ìdìbò, ìjọba Kwara kéde ọjọ́ Ẹtì ní ìsinmi lẹ́nu iṣẹ́
yor_000118|Gberefu Island ni ìbùdó ojú ọ̀nà àrèmábọ̀ tó wà ní ìlú Badagry
yor_000119|Lára àwọn ààrẹ orílẹ̀-èdè Nàìjíríà ní ìgbà kan rí ni, Olúṣẹ́gun Ọbásanjọ́, Goodluck Jonathan, Muhammadu Buhari
yor_000120|Ó má ṣe o, l'ọ́jọ́ Àìkú, n'íkú mú èèyàn méjì lọ nínú ìjàmamba mọ́tò lójú-ọ̀nà Ìpétu Ìjẹ̀ṣà
yor_000121|Kí ni àdó dúdú wà fún?
yor_000122|Táni ààrẹ àkọ́kọ́ orílẹ̀-èdè Nàìjíríà? Shagari jẹ́ ààrẹ àkọ́kọ́ tí orílẹ̀-èdè Nàìjíríà?
yor_000168|máalù ìtànṣán oòrùn igun alára ńbárá kẹndúrú ìgbómílẹ́nà
yor_000169|agboòrùn
yor_000170|igun alára ńbárá kẹndúrú ìgbómílẹ́nà
yor_000171|ojú ọjọ́ gbóná gan-an
yor_000172|Òjò ńlá àti afẹ́fẹ́ díẹ̀
yor_000173|kẹ̀kẹ́
yor_000174|ìtànṣán oòrùn
yor_000175|Ìwé alára ńbárá mẹ́fà
yor_000176|Ajá dúdú pẹ̀lú bọ́ọ̀lù
yor_000177|mẹ́fà pẹ̀lú méje jẹ́ mẹ́tàlá
yor_000178|ìtùrà òjò
yor_000179|oòrùn díẹ̀ pẹ̀lú afẹ́fẹ́
yor_000180|ìdamẹ́ta ọgọ́ta jẹ́ ogún
yor_000181|àsọtẹ́lẹ̀ asálẹ́ àsọtẹ́lẹ̀ àkókò alẹ́
yor_000182|ìdamẹ́rin ogún jẹ́ márùn-ún
yor_000183|òjò òjò
yor_000184|Igi ọ̀gẹ̀dẹ̀ pẹ̀lú ọ̀gẹ̀dẹ̀ mẹ́ta
yor_000185|mẹ́rin lọ́nà márùn-ún jẹ́ ogún
yor_000186|Bàbá àgbà ti pé ọgọ́rùn-ún ọdún
yor_000187|Odò ńlá pọ̀ ní ilẹ̀ adúláwọ̀
yor_000188|ìdamẹ́rin ọgọ́rùn-ún lé lógún jẹ́ àádọ́rùn-ún
yor_000189|oókan pẹ̀lú èjì ó jẹ́ mẹ́ta
yor_000190|òjò afẹ́fẹ́
yor_000191|kurukuru awọsánmà ní agọ méjì ọjọ́rú
yor_000192|mẹ́jọ lọ́nà mẹ́sàn-án jẹ́ méjìléláàádọ́rin
yor_000193|òjò ní agogo mẹ́sàn-án ní ọjọ́rú
yor_000194|òkè gíga pọ̀ ní ilẹ̀ adúláwọ̀
yor_000195|igun mẹ́ta láàárín òfurufú àti orí'lẹ̀ aláwọ̀ ewé
yor_000196|Eré ìdárayá máa ń jẹ́ kí ọmọ jáfáfá
yor_000197|oòrùn ní agọ márùn-ún ní ọjọ́ ìṣẹ́gun
yor_000198|ìyípadà àwọn ìpò ojú ọjọ́
yor_000199|ifẹ alára ń bárá mẹ́rin
yor_000200|Ogun ọmọdé kò lè ṣeré fún ogún ọdún
yor_000201|Ìdamárùn-ún ọgọ́rin jẹ́ méjìlélógóta
yor_000202|Oòrùn ní agogo mẹ́wàá ní ọjọ́rú
yor_000203|mọ́kànlá méjì pẹ̀lú mẹ́ta jẹ́ mẹ́rinlá
yor_000204|ọ̀pọ̀lọpọ̀ ìgbà ni wọ́n mọ̀ àwọ̀n nínú eré ìdárayá
yor_000205|Òtútù òjò
yor_000206|èso ápù òdidì kan àti àbọ̀
yor_000207|Òjò fẹ́ẹ́rẹ́ ní agọ méjì òru ọjọ́rú
yor_000208|ìdaméji ọgọ́rùn-ún jẹ́ àádọ́ta
yor_000209|Ìdamẹ́rin ọgọ́rùn-ún jẹ́ árùndínlógún
yor_000210|méje lọ́nà mẹ́jọ ó jẹ́ mẹ́rinlélógóta
yor_000211|Àwọn nóòsì ṣe àbẹ̀wò sí ilé-ẹ̀kọ́ tìtun
yor_000212|méjìlá lọ́nà mẹ́rin jẹ́ méjìdínláàádọ́ta
yor_000213|ìdamárùn-ún mílíọ̀nù kan jẹ́ igba ẹgbẹ̀rún
yor_000214|ìdaméji àti ìdamẹ́fà jẹ́ ìdamẹ́ta àbọ̀
yor_000215|àbọ̀ ìdamẹ́jọ lọ́nà mẹ́jọ jẹ́ mẹ́ta
yor_000216|Àwọn ọmọ ṣe ìrántí ìyá wọn lẹ́yìn ọdún kan
yor_000217|Ìrì òjò fẹ́ẹ́rẹ́ ní bí agọ kàn ọ̀run ní ọjọ́rú
yor_000218|ìdamẹ́wàá mílíọ̀nù kan jẹ́ ẹgbẹ̀rún lọ́nà ọgọ́rùn-ún
yor_000219|àsọtẹ́lẹ̀ àkókò alẹ́
yor_000220|ẹṣin aláwọ̀ pupa fẹ́ẹ́rẹ́ pẹ̀lú ìyíká àwọ̀ esúrú
yor_000221|òdòdó ọlọ́run ẹ́ẹ̀jọ
yor_000222|ìdamárùn-ún pẹ̀lú ogún pẹ̀lú ọgbọ̀n pẹ̀lú ọgọ́jì jẹ́ méjìdínlógún
yor_000223|Oṣù kejìlá ni ìgbà ọdún
yor_000224|kìnnìún jẹ́ ẹranko tó ń sáré
yor_000225|àwòrán olójú ẹyẹ mẹ́ta pẹ̀lú òdòdó mẹ́ta
yor_000226|Àwọn ẹbí fún àkọ́bí ọmọ wọn ní ẹ̀bùn ńlá fún ogún ọdún ijọ́ ìbí rẹ̀
yor_000227|Kurukuru awọsánmà ní agogo mẹ́ta ọ̀run ọjọ́rú
yor_000228|Olusegun Obasanjo Presidential Library jẹ́ ibi gan-an gbòógì ní Abẹ́òkúta.
yor_000229|"Cocoa House wà ní Ìbàdàn, ""Oyo State""."
yor_000230|Abuja jẹ́ olú-ìlú orílẹ̀-èdè Nàìjíríà
yor_000252|Mẹ́ta
yor_000253|Ọgbọ̀n
yor_000254|Máàrún
yor_000255|Ọgbọ̀n àti Méjì
yor_000256|Ogójì
yor_000257|Mẹ́rinlá
yor_000258|Àádọ́ta
yor_000259|Ọkùnrin Kẹta Nínú Mọ̀lébí
yor_000260|Ogójì àti Mẹ́jọ
yor_000261|Mẹ́jìdínlógún
yor_000262|Méjìlá
yor_000263|Márùn-ún lélógún
yor_000264|Ṣébùntí túù
yor_000265|Àádọ́rùn-ún
yor_000266|Ẹgbẹ̀rún lọ́nà Ọgọ́rùn-ún méjì
yor_000267|Àwọn Ará Ghana ń ṣe Gánnà gánnà
yor_000268|Ọgọ́rùn-ún
yor_000269|Ogún
yor_000270|Ewọ̀rọ̀ jẹ́ ǹkan ìsìn tó yára
yor_000271|Yínká ṣe Àṣeyọrí nínú Ìdànwò rẹ̀
yor_000272|Òkè t'ọ́ga nìyí
yor_000273|Odò tó gùn
yor_000274|Mẹ́ta
yor_000275|Góòlù tó pọ̀ wà nínú àwọ̀n
yor_000276|Ní Ọjọ́ òní Ojú Ọjọ́ máa yípadà
yor_000277|Ẹgbẹ̀rún Kan, Ọgọ́rùn-ún Méjì Àti mẹ́wàá
yor_000278|Ṣádì súnmọ́ Sókótó ní Nigeria
yor_000279|Mẹ́wàá àti Méjìlá lọ́tọ̀ọ̀tọ̀
yor_000280|Obasanjo kó Nàìjíríà yọ nínú gbèsè
yor_000281|Gáníyà Fẹ́ ṣe Ìgbéyàwó láìpẹ́
yor_000282|Ojú Ọjọ́ òní Ó dá.
yor_000283|Landmark Beach jẹ́ ilé eré
yor_000284|Muhammadu Buhari fi gbèsè tó pọ̀ lé nà ìjọba
yor_000285|Àwọn Ará ìlú Ghana sọ Èdè Gẹ̀ẹ́sì bíi Nigeria
yor_000286|Pẹ̀lú bí Ojú Ọjọ́ ṣe rí yìí Òjò máa rọ̀ ní dájú
yor_000287|Lánre ní òhun fẹ́ ṣe Ìgbéyàwó Kí Ọdún tó parí
yor_000288|Ìjọ Àwọn Alámọ̀jútó Oníwòsàn
yor_000290|Muhammadu Buhari kúrò lórí oyè ní May 29, 2023
yor_000291|Maryland Mall wà ní Ikorodu Road ní Èkó
yor_000292|Port Novo jẹ́ Agbègbè ní Ìlú Benin
yor_000299|Ta ló jẹ́ alága NFF ti àná? Amaju Pinnick
yor_000330|Ọjọ́bọ̀ ni kó o wa!
yor_000331|Obẹ Akpu máa ń dùn láti fi jẹ ẹ̀bà.
yor_000332|Ṣemo àti ọbẹ̀ ẹ̀gúsí pẹ̀lú ẹran ìgbẹ́ máa ń dùn jẹ.
yor_000333|Kí ló mú ọ ojú rẹ pupa bí ẹ̀rẹ̀ iná?
yor_000335|Ṣé ọjọ́ Iṣẹ́gùn ni a bí Arábìnrin Grace Odúpìtàn?
yor_000337|Ọjọ́ Àìkú ni a máa ń lọ sí ilé-ìjọsìn.
yor_000415|Ǹjẹ́ ìwọ mọ ibi tí mo fi ìgbànú yẹ́lò mi sí?
yor_000490|Ìdámẹrin nínú ogún ó jẹ márùn-un
yor_000491|Orílẹ̀-èdè Libya ti ń gbé ogun ti ìfinisòwò ẹrú.
yor_000492|Ìpele kìnní ni a wà ní Orí àtẹ ìgbéléwọ tẹlẹ ṣùgbọn a ti wà ní ìpele keje báyìí
yor_000494|Ìdámẹta nínú ọgọta ó jẹ ogun
yor_000496|Pastor Enoch Adéjàre Adébóye ni adarí ìjọ Redeem Christian Church of God.
yor_000569|Orílẹ̀-èdè Ghana jẹ́ ibi tó rẹwà
yor_000570|Ẹ̀gbẹ́ Ìbàdàn ni Èkó wà.
yor_000571|Olú-ìlú ìpínlẹ̀ Ọ̀ṣun ni Òṣogbo
yor_000572|Ìrẹ́sì ni oúnjẹ àwọn ọmọdé
yor_000573|Ọ̀la ni ọdún iléyá
yor_000574|Ọba ìlú Ilé-Ifẹ̀ ni Ọba Adeyeye Ogunwusi.
yor_000575|Gómìnà ìpínlẹ̀ Ọ̀yọ́ ni Ọ̀gbẹ́ni Seyi Makinde
yor_000576|Gómìnà ìpínlẹ̀ Èkó ni Ọ̀gbẹ́ni Sanwo Olu
yor_000577|Ilé-ìwé gíga Obáfẹ́mi Awólọ́wọ̀ wà ní ìlú Ilé-Ifẹ̀.
yor_000578|Dandan ni kí n jẹ Àmàlà l'ójojúmọ́
yor_000579|Gómìnà ìpínlẹ̀ Ògùn ni Ọ̀gbẹ́ni Dapo Abiodun.
yor_000580|Ọdún Kérésì yìí máa dùn
yor_000581|Ìlú Àbújá ni olú-ìlú orílẹ̀-èdè Nàìjíríà.
yor_000582|Ọba ìlú Ilé-Ifẹ̀ ni Ọba Adeyeye Ogunwusi.
yor_000583|Àwọn ológun lórí ń darí Malì
yor_000584|Agbègbè Ìkòyí ní ìlú Èkó jẹ́ agbègbè tí àwọn olówó wà jù lọ.
yor_000585|Nìjẹ̀ẹ́ pa àlà pẹ̀lú Sokoto
yor_000586|Olú-ìlú Israeli ni Tel-aviv
yor_000587|Fásitì Ìbàdàn ni àkọ́kọ́ ní Nàìjíríà
yor_000588|Olú-ìlú Amerika ni Washington DC
yor_000589|ọ̀la ni ọjọ́ ìṣẹ́gun
yor_000590|Ta ni gómìnà ìpínlẹ̀ Ògùn? Gómìnà ìpínlẹ̀ Ògùn ni Ọ̀gbẹ́ni Dapo Abiodun.
yor_000591|Mo ti ra ẹran iléyá
yor_000592|Èkuru ni oúnjẹ àwọn ìbeji
yor_000593|Òkun Atlantic wà láàárín Amerika àti Afrika
yor_000594|Òkè tó ga jù ní àgbáyé ni Òkè Everest ní Fiji
yor_000595|Èkìtì ni ó kéré jù ní apá gúúsù ìwọ̀-oòrùn Nàìjíríà
yor_000596|Òkè Olúmọ ga púpọ̀, ó wà ní ìpínlẹ̀ Ògùn
yor_000597|Ta ni Ọba olórin Jùjú? Ọba orin Sunny Adé
yor_000598|Òkè Láyípo ni ibi tó ga jù lọ ní Ìbàdàn
yor_000599|Bẹ̀nẹ̀ àti Ṣakí pa àlà pẹ̀lú ara wọn
yor_000600|APC ni ẹgbẹ́ òṣèlú tó ń ṣejọba ní Nàìjíríà báyìí
yor_000601|Iyán àti ẹgúsí máa ń yo èèyàn dáadáa
yor_000602|Ọ̀la ni àwọn INEC máa parí kíkà ìbò
yor_000603|Ta ni Ọba ìlú Ilé-Ifẹ̀? Ọba ìlú Ilé-Ifẹ̀ ni Ọba Adeyeye Ogunwusi.
yor_000604|Òní ni ọjọ́ ajé,
yor_000605|Àpáta ńlá ni Zuma, ọ̀nà Àbújá ló wà
yor_000606|Àwọn ọmọ Yorùbá wà ní Kòtọnú
yor_000607|Ọ̀túnla ni ọjọ́rú, ọjọ́bọ̀ ni mo máa lọ sí ilé
yor_000608|Ilẹ̀ Yorùbá ni Ìlọrin
yor_000609|Ìbàdàn àti Abẹ́òkúta pa àlà pẹ̀lú ara wọn.
yor_000610|Èkó ni mo ti máa ṣe ọdún òmìnira
yor_000611|ọjọ́bọ̀ ni mo máa lọ sí ilé
yor_000612|Mo máa jó gidi gan l'ọ́jọ́ ìkóre tó ń bọ̀ yìí
yor_000613|Ẹkọ tútù àti àkàrà dára fún oúnjẹ alẹ́
yor_000614|Èdè wo ni wọ́n ń sọ ní Bẹ̀nẹ̀?
yor_000615|Ògì la máa ń kọ́kọ́ mu l'áàrọ̀
yor_000616|Ojojúmọ́ la ń jẹ ìrẹ́sì
yor_000617|Ìpínlẹ̀ Ọ̀ṣun ni Àṣẹ́jìre wà
yor_000618|Wakọ̀ láti Ọ̀gagun sí Ibi Watertower, lọ sí àríwá lórí Park Drive sí East Grand Avenue.
yor_000619|Ààrẹ Bola Tinubu ni ààrẹ orílẹ̀-èdè Nàìjíríà láti ọdún 2023 títí fi di òní.
yor_000620|Ṣé wọ́n ń sọ gẹ̀ẹ́sì ní Kòtọnú?
yor_000621|CAF ti wọ́gi lé ètò ìdìbò sí ipò ààrẹ ẹgbẹ́ náà
yor_000622|Kòtọnú, Nìjẹ̀ẹ́, Malì
yor_000623|Omi gbígbóná àti tútù pàdé ní Ìkogosí
yor_000624|Mo ti ra adìẹ láti ṣe ọdún Maoludi
yor_000625|Ìrẹ́sì àti ẹ̀wà dára l'ára
yor_000626|Ọjọ́ Ẹtì ni ọdún Àjíǹde bọ́ sí
yor_000627|Mo ti ra aṣọ fún ọdún eégún
yor_000630|Mo ń lọ sí ibi àsè ìgbéyàwó l'ọ́jọ́ àbamẹ́ta
yor_000651|Bàtà pupa tí mo rà dà?
yor_000652|Kò ṣee má jẹ ní burẹ́dì àti ẹwà.
yor_000653|Ọbẹ̀ ilá dùn jẹ àmàlà.
yor_000654|Ọjọ́ Àìkú l'ọ́jọ́ òní.
yor_000655|Alúfáà ìjọ Kátólìkì jáde láyé.
yor_000656|Áíná bímọ l'ọ́jọ́ Sátidé.
yor_000657|Àná jẹ́ ọjọ́ ìsinmi.
yor_000658|Oṣù Ṣẹẹrẹ ni mo bí Bíọ́dún.
yor_000660|Ilé kéwú wà ní tòsí ilé mi.
yor_000662|Keresimesi dé, ọdún onígbàgbọ́.
yor_000663|Mo rìnrìn-àjò ní ọjọ́rú.
yor_000668|Oṣù Ọpẹ́ ló gbeyìn ọdún.
yor_000671|Ta ni ó gbé abọ́ dúdú tí mo fi ń tajà?
yor_000673|Wọ́n ti gba bọ́ọ̀lù wọ̀nú àwọ̀n.
yor_000730|Irẹ́sì àti Ẹ̀wà dùn gan-an
yor_000731|Ìràwọ̀ láàárín ìyíká
yor_000732|agbábọ́ọ̀lù
yor_000733|Ọfà láàárín ìyíká
yor_000734|Ìyíká lẹ́gbẹ̀ẹ́ onígùn mẹ́ta
yor_000735|Ìpélé mẹ́ta lárìn ìyíká
yor_000736|bọ́ọ̀lù mẹ́rin nínú kòlò
yor_000737|olùkàwé
yor_000738|Ìpélé mẹ́ta àti ìyíká olómi àró méjì
yor_000739|Ìtànṣán òṣùpá lórí omi
yor_000740|bọ́ọ̀lù nínú àwọ̀n
yor_000741|Àmì ìfẹ́ lórí ìjókòó aláwọ̀ pupa fẹ́ẹ́rẹ́
yor_000742|odò láàárín òkè ńlá méjì
yor_000743|Ẹ̀wà dùn-ún jẹ pẹ̀lú Búrẹ́dì
yor_000744|Onígùn mẹ́ta méjì pẹ̀lú ìyíká láàárín
yor_000745|onígùn mẹ́ta aláàmì ìwé lórí ìyíká olómi àró
yor_000746|Irẹ́sì Tíwọ́n kò jábẹ́
yor_000747|Àwòrán afára lórí ọmọ
yor_000748|Aṣọ wo l'ó l'áyì jù? Aṣọ funfun
yor_000749|Onígùn mẹ́rin olómi esúrú méjì pẹ̀lú ìyíká olómi àró
yor_000750|Idì Fitírì Ọdún ńlá
yor_000751|òdòdó aláwọ̀ ewé àti búlúù
yor_000752|Brown la fi kùn Ilé wa
yor_000753|Móòlù Addas wà ní Ikeja
yor_000754|Ọjọ́ Saturday (Àbámẹ́ta) ni Ilé Ìtùrà máa ń kún
yor_000755|Gárí Tíwọ́n Láti Jẹ Ẹ̀bà nísìíyìí
yor_000756|Hotẹ́lì Èkó jẹ́ ilé ìtùrà tó ṣe pàtàkì ní Èkó
yor_000757|Ọdún tuntun máa ń dùn ní Nàìjíríà
yor_000758|Oúnjẹ wo ló ṣe Pàtàkì jù? Irẹ́sì
yor_000759|Gbogbo nǹkan ló tíwọ́n tó fi dé Orí Gárí
yor_000760|Ẹ̀wà Àgọnyìn ti gba ilẹ̀ ní Ìlú Èkó
yor_000761|Ọjọ́ Jímọ̀ l'áwọn Mùsùlùmí Máa Ń lọ sí Mọ́ṣálásí ńlá
yor_000762|Idì Fitri
yor_000763|Ọdún Mùsùlùmí ni Eid Fitri ìyẹn ọdún kékeré
yor_000764|JJT Park wà fún ìgbádùn ọmọ àti àgbà
yor_000765|Ọjọ́ Dẹmọkírẹ́sì jẹ́ Pàtàkì fún Ìjọba Alágbádá
yor_000766|Monday (Ajé) jẹ́ Ìbẹ̀rẹ̀ Ọ̀sẹ̀ ní Nàìjíríà
yor_000767|January oṣù kìnní ni Budget Nàìjíríà ń Gbéra
yor_000768|Kí la Fi ń ṣe Iyán? Iṣu
yor_000769|Idì Kabírì jẹ́ Ọdún tí Mùsùlùmí Máa ń pa Eran
yor_000770|WHO ń ṣe Ètò Ìlera ní Nàìjíríà
yor_000771|Ìjọba Nàìjíríà fi Ọmọdé ṣeré pẹ̀lú Ijọ àwọn ọmọdé
yor_000807|Maálù aláwọ̀ dúdú àti funfun
yor_000808|Ejò lórí ẹ̀ka igi
yor_000809|Kòkòrò oyín mẹ́ta àti òdòdó mẹ́ta
yor_000810|Òkójọpọ̀ àwọn ìwé akẹ́kọ̀ọ́
yor_000811|Kéèkéé afẹ́sẹ́wá
yor_000812|Ìwé mẹ́fà lórí ara wọn
yor_000813|Oṣùpá tó tàn lórí omi
yor_000814|Ewéko níwájú ìfèrèsé
yor_000815|Bọ́ọ̀lù níwájú ajá dúdú
yor_000816|Oòrùn tó tàn l'ẹ́hìn sánmà
yor_000817|Ẹṣin tó wà níwájú oòrùn
yor_000818|Èso ápùù òdidi kan àti àbọ̀
yor_000819|Àwọn òkè
yor_000820|Ìdamẹ́wàá mílíọ̀nù kan ní ẹgbẹ̀rún lọ́nà ogọ́rùn-ún
yor_000821|Maálù ń jẹ koríko l'ẹ́gbẹ̀ẹ́ igi ńlá, Oòrùn sì ràn l'ókè wọn
yor_000822|Odò adágún láàárín àwọn òkè
yor_000823|Ẹgbẹ́ àwọn nóòsì kan
yor_000824|Ọmọkùnrin láàárín bàbá àti ìyá rẹ̀
yor_000825|Ìlàjì ọ̀sàn l'ẹ́gbẹ̀ẹ́ ọ̀sàn odìdi méjì
yor_000826|Èso ápùù tí ìdín t'inú rẹ̀ jáde wá
yor_000827|Àwọn odò gígùn
yor_000828|Èmi ni ẹni àkọ́kọ́ nínú ilé-iṣẹ́ yìí
yor_000829|Ife omi mẹ́rin lórí tábílí
yor_000830|Àròpọ̀ mẹ́fà àti méje jásí mẹ́tálá
yor_000831|Bọ́ọ̀lù nínú àwọn
yor_000832|Ìrísí mẹ́ta onígun dídọ́gba mẹ́rin lórí ìrísí roboto
yor_000833|Èso tòmátì àti károotì
yor_000834|Onígun mẹ́ta tó f'ara pa mọ́ díẹ̀ l'ẹ́hìn ìrísí roboto
yor_000835|Ọjọ́ máàrún ní ọ̀ṣẹ̀ kan ni Ayọ̀ máa fi lọ'biṣẹ́
yor_000836|Àròpọ̀ mọ́ọ̀kànlá àti mẹ́ta jásí mẹ́rinlá
yor_000837|Ìdamẹ́rin ogọ́rùn-ún ní máàrùndínlógún
yor_000838|Ìdamẹ́ta kan tí ogọ́ta ní ogún
yor_000839|Agbábọ́ọ̀lù tí bọ́ọ̀lù wà níwájú rẹ̀
yor_000840|Ìrísí ọkàn lórí ìrísí bíi ti sìlíńdà
yor_000841|Àìmọye góòlù nínú ìdíje kan
yor_000842|Ìrísí roboto láàárín onígun mẹ́rin àìdọ́gun méjì
yor_000843|Ìdílé kan náà ni gbogbo wọn tí wá
yor_000844|Ọmọ rẹ̀ ṣe ayẹyẹ ọjọ́ ìbí ọdún kejì ní ọ̀ṣẹ̀ t'ókọjá
yor_000845|Àwọn igi l'ẹ́gbẹ̀ẹ́ òkè
yor_000846|Ìdamárùn-ún mílíọ̀nù kan ní ẹgbẹ̀rún lọ́nà igba
yor_000847|Ìsọdípúpọ̀ ẹjọ àti ẹsàn jásí méjìléníàádọ́rin
yor_000848|Ife imú tíí tó ní ìderí
yor_000849|Ìsọdípúpọ̀ ẹwà àti ẹwà jásí ogọ́ọ̀rún
yor_000850|Agbélé Áàkì pẹ̀lú ìrísí onígun mẹ́ta mẹ́ta
